index,BAL,TBR,BOS,NYY,TOR,MIN,DET,CHW,KCR,CLE,LAA,OAK,TEX,HOU,SEA,LAD,SFG,ARI,COL,SDP,MIL,STL,CHC,CIN,PIT,NYM,WSN,ATL,PHI,MIA
79,4.9,4.2,5.1,4.8,4.9,4.1,5.1,6.4,3.5,3.8,5.1,3.7,3.5,4.1,4.1,6,4.4,3.3,3.9,4.5,5,4.1,3.8,3.8,3.8,5.5,4.9,5.7,5.7,4.1
80,4.7,4.4,4.8,4.5,4.8,4,5.1,5.7,3.7,3.9,4.8,3.7,3.1,3.7,4,6.4,4.8,3.1,3.9,4.5,4.8,3.7,3.8,3.5,4.1,5.1,5.9,4.5,5.7,4
81,4,4.3,4.4,4.3,4.7,3.9,4.9,5.5,4.1,4.1,4.1,3.4,3.1,3.5,4.3,6.5,5,3.2,3.7,5.8,5.1,4.1,3.9,3.9,4.1,4.9,6,4.3,5.7,3.5
82,3.9,4.5,4.9,4.4,4.6,4.1,5.4,5.5,3.9,4.2,3.7,3.3,2.6,3.6,4.1,6.3,4.5,3.5,3.6,6.1,4.7,4,3.9,4,4.3,5,5.9,4.6,5.8,3.6
83,3.9,4.7,4.3,4.2,4.8,4.1,5.5,5.3,4.1,3.8,3.7,3.3,2.5,3.7,3.8,6.1,4.5,3.5,3.7,6.1,4.3,4.1,4,3.8,4.5,4.9,5.9,4.9,5.3,3.6
84,4.1,4.9,4.5,4.2,4.7,3.7,5.1,5.1,4.4,3.9,3.5,3.5,2.3,3.6,3.5,5.9,4.4,3.9,4.1,5.9,4.1,3.7,4,4,4.7,5,5.6,4.5,4.5,3.3
85,4.1,5.2,4.5,3.7,4.1,4,5.1,4.8,4.5,4.1,3.6,3.7,2.5,3.9,3.6,5.8,4.3,4,3.9,5.9,3.8,3.9,4.4,3.9,4.7,5,5.6,5.4,4.4,3.1
86,3.9,5.1,4.6,3.6,4.9,4,4.9,4.7,4.3,4.1,3.7,3.4,2.3,3.9,3.7,5.9,4.4,3.9,3.8,6.2,4.2,3.9,4.4,3.9,4.6,4.2,4.9,5.4,4.3,3.1
87,4.3,4.7,4.6,3.8,5.2,3.8,5.1,4.5,4.3,4.2,3.5,3.7,1.7,3.5,3.9,5.9,4.2,4.2,3.7,5.7,4.1,4.3,4.1,3.9,4.4,4.4,4.8,4.6,4.2,2.7
88,4.3,4.7,4.7,3.5,5.3,3.9,4.8,4.1,4.4,4.1,3.9,3.5,1.9,3.7,4.3,5.7,3.9,4,4.3,5.7,4.5,4.1,3.9,4.2,4.3,4.3,4.8,4.3,3.5,3.3
89,4.4,4.3,4.5,3.7,4.9,3.7,4.9,3.7,4.6,3.9,3.9,3.5,1.8,4.2,4.5,5.4,3.5,3.9,4.1,5.3,4.7,4.1,4.2,4.6,3.9,4.1,5.1,4.7,3.9,3.7
90,4.4,4.9,4.1,3.5,4.7,3.8,5.2,3.2,4.2,4,3.4,4.1,1.9,4.9,4.3,5.8,3.7,3.9,4,5.2,5.1,4.1,3.7,4.8,4.3,4.2,5.3,4.5,3.6,3.9
91,4.4,5.3,4,3.7,4.5,3.9,6.1,3.5,3.7,3.9,3.1,4.2,2.1,5.5,4.7,4.3,3.8,3.9,4.4,5.1,5.7,3.8,3.9,5,4.1,4.1,4.9,4.5,3.7,3.5
92,4.3,5.4,3.9,3.5,4.8,4.1,5.9,3.6,3.5,4.1,2.7,3.8,2.3,5.4,4.9,4.2,4.1,4.1,4.5,5.1,5.6,4.1,3.8,4.9,4.1,3.7,5.1,4.3,4.5,3.5
93,4.1,5.6,4,3.8,4.7,4.3,6,3.5,4.1,3.9,2.5,3.5,2.5,5.1,4.7,4.1,4.7,3.8,4.3,5.3,5.7,4,3.9,5.1,3.6,2.9,4.9,4.5,4.5,3.1
94,3.9,5.3,4.1,4.1,5.5,4.6,5.8,3.8,3.9,3.9,3.2,3.7,2.7,5.3,5,4.3,4.3,4.3,5.1,5.5,5.3,4.1,4,5.4,3.7,2.9,3.9,4.4,4.5,3.4
95,4.1,5.3,4.1,4,4.9,4.7,5.7,3.5,3.7,3.7,3.3,3.7,2.8,5.6,4.8,4,4.4,4.3,4.8,4.1,5.2,3.9,4.2,5.1,3.7,2.8,3.9,4.7,4.8,3.5
96,4,5,3.5,3.9,4.7,4.7,5.1,3.1,3.5,3.9,3.5,3.9,2.7,5.5,4.6,4.3,4.5,4,4.9,3.9,4.9,3.7,3.9,5.3,3.6,2.7,4.2,4.8,5.1,3.6
97,4,5.3,3.1,4.1,5.1,4.6,4.9,3.5,3.3,4.3,3.5,3.9,2.7,5.2,4.6,4,4.2,4,5.5,4,4.9,3.9,4.1,5.9,3.3,2.7,4.4,4.9,5.1,3.7
98,3.9,5.8,3.1,3.9,5,4.5,5.1,3.7,3.3,4.3,3.5,4.3,2.5,5.2,4.7,4.2,4.5,3.8,5.3,4.2,5.1,4,4.4,6.3,3.1,2.5,4.4,5.3,5.2,3.6
99,3.7,5.7,2.7,4.1,5.2,4.6,4.7,4.2,3.5,4.4,3.3,4.4,2.5,5.1,4.7,4.5,4.7,3.5,6.2,4.3,4.9,3.9,3.9,6.1,2.6,2.5,4.4,4.5,5.3,3.7
100,3.8,5.7,2.6,4.1,5,4.6,4.7,4.7,3.5,3.9,3.3,4.5,2.8,5.1,4.5,4.5,4.9,3.3,6.1,4.3,4.8,4,3.9,5.9,2.6,3,4.5,4.7,4.9,4.1
101,3.3,6.1,2.8,4.3,4.8,4.7,4.5,4.7,3.3,4.1,3.1,4.6,2.8,5.3,4.5,4.9,5.2,3.3,6,4.3,5.1,3.8,3.7,5.7,2.6,2.9,4.2,4.8,4.7,4.1
102,3.3,6.5,2.7,4.8,4.7,4.4,5,4.4,3.2,3.6,2.7,5.5,2.5,5,3.9,4.8,5.7,3.4,5.2,4.5,5.2,3.9,3.5,5.7,2.8,3.1,4.3,5.3,4.8,3.9
103,3.2,7.1,4,5.1,4.5,4.3,5,4.9,3.1,4.3,3.1,5.7,2.9,5,3.7,5.1,5.7,3.9,5,4.7,5.9,4.4,3.2,5.9,3.7,3.3,3.9,4.7,4.1,3.9
104,3,6.1,3.8,5.1,4.9,4.2,5,5.2,3.5,4.2,3.1,5.5,2.8,4.3,3.6,4.7,5.3,3.9,5.3,4.5,5.3,4.5,3.3,5.9,3.3,3.2,3.7,4.9,4.5,4.3
105,2.9,5.9,4.3,5.1,4.9,4.5,4.1,5,3.7,4.3,3.2,5.5,2.9,4.1,3.6,5.7,5.1,4,4.8,4.3,5.1,4.5,3.7,5.5,3.1,3.1,3.9,5.3,4.7,4.6
106,2.7,5.9,5.1,5.3,4.7,4.3,4.1,4.6,3.8,4.3,3.2,5.5,2.7,3.8,3.5,5.5,5.3,3.9,4.9,4.1,5.2,4.3,3.8,5.7,2.9,3.4,4.3,5.4,3.8,4.7
107,2.7,6.4,5.2,4.6,4.5,4.1,3.9,5.1,3.4,4.9,3.2,5.5,2.5,3.7,3.5,5.2,4.7,4.1,5.3,3.9,5.2,4.7,3.5,6.2,3,3.3,4.5,5.7,3.5,4.8
108,2.5,6.8,5.3,4.3,3.9,4.2,3.9,4.8,3.6,4.9,3,5.1,2.9,3.9,3.2,4.9,4.8,3.9,4.9,4.2,5.2,4.5,3.5,5.9,2.5,3.5,4.5,5.7,3.3,4.4
109,2.4,7.1,5.1,4.4,4.1,4.2,3.6,5,3.7,5,3.1,5.4,2.8,4.4,3.5,5.2,4.4,4.1,5.3,4.3,5.1,4.5,3.2,5.6,2.6,3.2,4.5,6.1,2.9,4.7
110,2.3,7.2,5,4.9,4.1,4,4,5.3,4.2,4.7,3.6,5.3,3.5,5.2,3.5,4.9,4.5,4.3,5.3,4,4.9,4.4,3.5,5.5,2.7,3.2,4.3,5.8,2.7,4.5
111,2.4,7.1,5.3,5,3.7,3.7,4.2,5.1,4.3,4.6,3.4,5.4,3.7,5.1,3.4,5,4.5,4.1,4.6,3.8,5.4,4.3,3.3,5.2,2.7,3.3,4.4,5.6,2.9,4.5
112,2.8,6.9,5.1,5.3,3.7,4.3,3.7,4.8,3.9,5.1,3.3,4.7,3.9,4.9,3.7,4.8,4.5,4.1,4.4,3.7,5.5,4.1,3,4.9,2.9,3.5,4.4,5.3,2.6,4.6
113,3.5,6.5,5.7,5.1,3.9,4.5,3.9,4.3,3.7,5.1,3.1,4.5,3.9,4.9,3.7,4.6,4.3,4.3,3.7,3.7,5.7,4.3,3.1,4.9,3,3.5,4.5,5.2,2.7,4.4
114,3.5,6.4,6.3,5.3,3.3,4.5,4.1,3.9,3.9,5.3,3.7,4.3,3.9,4.9,3.9,4.6,4,4.5,4.5,3.5,5.7,4.3,3.3,5,3.1,3.1,4.1,5.1,3.1,3.9
